date,code_id,option_type,K,T,sigma_bsm
2015-08-18,10000283,C,2.5,2015-08-26,0.1212642282908235
2015-08-19,10000283,C,2.5,2015-08-26,0.11158270827121078
2015-08-20,10000283,C,2.5,2015-08-26,0.2014380182978713
2015-08-21,10000036,P,2.2,2015-09-23,0.21192557177897745
2015-08-24,10000035,C,2.4,2015-09-23,0.47550735889377654
2015-08-25,10000035,C,2.4,2015-09-23,0.6724215924106075
2015-08-26,10000031,C,2.2,2015-09-23,0.5111659982195746
2015-08-27,10000031,C,2.2,2015-09-23,0.29502105313203847
2015-08-28,10000035,C,2.4,2015-09-23,0.32585154969627605
2015-08-31,10000035,C,2.4,2015-09-23,0.2608837813025421
2015-09-01,10000035,C,2.4,2015-09-23,0.21066227046144861
2015-09-02,10000035,C,2.4,2015-09-23,0.17348477244155006
2015-09-07,10000035,C,2.4,2015-09-23,0.38878409816518955
2015-09-08,10000035,C,2.4,2015-09-23,0.34665135786622997
2015-09-09,10000035,C,2.4,2015-09-23,0.32679442521869523
2015-09-10,10000035,C,2.4,2015-09-23,0.2855434465332608
2015-09-11,10000035,C,2.4,2015-09-23,0.2941878709037815
2015-09-14,10000031,C,2.2,2015-09-23,-0.19386650685532128
2015-09-15,10000031,C,2.2,2015-09-23,0.21459743155417046
2015-09-16,10000035,C,2.4,2015-09-23,0.2929651901444724
2015-09-17,10000035,C,2.4,2015-09-23,0.3411676901307828
2015-09-18,10000035,C,2.4,2015-09-23,0.32535494223463
2015-09-21,10000035,C,2.4,2015-09-23,0.4573624324250968
2015-09-22,10000425,C,2.35,2015-10-28,0.09683571446667588
2015-09-23,10000425,C,2.35,2015-10-28,0.1585005869207949
2015-09-24,10000425,C,2.35,2015-10-28,0.15060713465131226
2015-09-25,10000425,C,2.35,2015-10-28,0.14104746273559196
2015-09-28,10000425,C,2.35,2015-10-28,0.13875378034996427
2015-09-29,10000425,C,2.35,2015-10-28,0.16199667704369064
2015-09-30,10000425,C,2.35,2015-10-28,0.1503164143270091
2015-10-08,10000425,C,2.35,2015-10-28,0.15180064869180274
2015-10-09,10000425,C,2.35,2015-10-28,0.12871511239906572
2015-10-12,10000425,C,2.35,2015-10-28,0.07080945129856354
2015-10-13,10000425,C,2.35,2015-10-28,0.0918914129668757
2015-10-14,10000425,C,2.35,2015-10-28,0.11248878434673262
2015-10-15,10000425,C,2.35,2015-10-28,0.05211742031929325
2015-10-16,10000425,C,2.35,2015-10-28,0.028529780559953057
2015-10-19,10000425,C,2.35,2015-10-28,0.038505194007187105
2015-10-20,10000425,C,2.35,2015-10-28,0.24365910854041403
2015-10-21,10000425,C,2.35,2015-10-28,0.044404350734702495
2015-10-22,10000425,C,2.35,2015-10-28,-0.22927530907497115
2015-10-23,10000425,C,2.35,2015-10-28,0.24514250325186904
2015-10-26,10000431,C,2.3,2015-11-25,-0.08220921659642655
2015-10-27,10000431,C,2.3,2015-11-25,-0.1844028909127478
2015-10-28,10000431,C,2.3,2015-11-25,0.24507608652775198
2015-10-29,10000431,C,2.3,2015-11-25,0.24483072828147678
2015-10-30,10000431,C,2.3,2015-11-25,0.24482608262604033
2015-11-02,10000431,C,2.3,2015-11-25,0.24305076486828742
2015-11-03,10000431,C,2.3,2015-11-25,0.23888734165281744
2015-11-04,10000431,C,2.3,2015-11-25,0.04991095841895035
2015-11-05,10000436,P,2.3,2015-11-25,0.1612531358642731
2015-11-06,10000436,P,2.3,2015-11-25,0.19243521901600133
2015-11-09,10000436,P,2.3,2015-11-25,0.2926559580205454
2015-11-10,10000436,P,2.3,2015-11-25,0.2903494361204191
2015-11-11,10000436,P,2.3,2015-11-25,0.20161115126685517
2015-11-12,10000471,C,2.6,2015-11-25,0.16140508187515992
2015-11-13,10000471,C,2.6,2015-11-25,0.19741921435164692
2015-11-16,10000471,C,2.6,2015-11-25,0.25214226639280285
2015-11-17,10000471,C,2.6,2015-11-25,0.22846304570451728
2015-11-18,10000471,C,2.6,2015-11-25,0.22381147442372945
2015-11-19,10000471,C,2.6,2015-11-25,0.19244277584493083
2015-11-20,10000471,C,2.6,2015-11-25,0.19893916173264065
2015-11-23,10000471,C,2.6,2015-11-25,0.10576786601355254
2015-11-24,10000285,C,2.5,2015-12-23,-0.71430311512139
2015-11-25,10000285,C,2.5,2015-12-23,-0.08828702697085727
2015-11-26,10000304,C,2.45,2015-12-23,0.2452946417400655
2015-11-27,10000285,C,2.5,2015-12-23,0.16669316721895777
2015-11-30,10000285,C,2.5,2015-12-23,0.16552260401971297
2015-12-01,10000285,C,2.5,2015-12-23,0.16061919823122797
2015-12-02,10000285,C,2.5,2015-12-23,0.2348967189888514
2015-12-03,10000285,C,2.5,2015-12-23,-0.2269135499178812
2015-12-04,10000285,C,2.5,2015-12-23,0.11065077406308975
2015-12-07,10000285,C,2.5,2015-12-23,0.12845587591813684
2015-12-08,10000285,C,2.5,2015-12-23,0.14854200946180493
2015-12-09,10000285,C,2.5,2015-12-23,0.1475028830574851
2015-12-10,10000285,C,2.5,2015-12-23,0.16290554314081618
2015-12-11,10000285,C,2.5,2015-12-23,0.19441921077666094
2015-12-14,10000285,C,2.5,2015-12-23,0.1395876808005939
2015-12-15,10000285,C,2.5,2015-12-23,0.1697585158287166
2015-12-16,10000285,C,2.5,2015-12-23,0.10978571917532377
2015-12-17,10000285,C,2.5,2015-12-23,0.14460120924936176
2015-12-18,10000320,P,2.35,2015-12-23,0.13740271563966647
2015-12-21,10000320,P,2.35,2015-12-23,0.054379212999999996
2015-12-22,10000320,P,2.35,2015-12-23,0.052676075999999995
2015-12-23,10000320,P,2.35,2015-12-23,0.052407379000000004
2015-12-24,10000482,C,2.5,2016-01-27,0.2432428972172844
2015-12-25,10000482,C,2.5,2016-01-27,0.2441774840037974
2015-12-28,10000482,C,2.5,2016-01-27,0.06398185655687272
2015-12-29,10000482,C,2.5,2016-01-27,0.047331781470632064
2015-12-30,10000482,C,2.5,2016-01-27,0.05566555483161412
2015-12-31,10000482,C,2.5,2016-01-27,0.06423603986289075
2016-01-04,10000482,C,2.5,2016-01-27,0.21376537106778354
2016-01-05,10000482,C,2.5,2016-01-27,0.22092620913738523
2016-01-06,10000482,C,2.5,2016-01-27,0.16352779497166617
2016-01-07,10000482,C,2.5,2016-01-27,0.29228515514011394
2016-01-08,10000480,C,2.4,2016-01-27,0.19836889098689348
2016-01-11,10000480,C,2.4,2016-01-27,0.1544828412345728
2016-01-12,10000480,C,2.4,2016-01-27,0.2809474996355781
2016-01-13,10000480,C,2.4,2016-01-27,0.2965266140955056
2016-01-14,10000480,C,2.4,2016-01-27,0.2797376267714088
2016-01-15,10000480,C,2.4,2016-01-27,0.3640029466700889
2016-01-18,10000480,C,2.4,2016-01-27,0.36952529118783684
2016-01-19,10000480,C,2.4,2016-01-27,0.33426898566467766
2016-01-20,10000480,C,2.4,2016-01-27,0.3730066332814203
2016-01-21,10000480,C,2.4,2016-01-27,0.4492568554293589
2016-01-22,10000480,C,2.4,2016-01-27,0.23658085495785336
2016-01-25,10000480,C,2.4,2016-01-27,0.163984931
2016-01-26,10000297,C,2.9,2016-03-23,0.37880859858171023
2016-01-27,10000297,C,2.9,2016-03-23,0.4447768878764337
2016-01-28,10000297,C,2.9,2016-03-23,0.44349140453485375
2016-01-29,10000297,C,2.9,2016-03-23,0.407828708781549
2016-02-01,10000297,C,2.9,2016-03-23,0.4178825138166451
2016-02-02,10000297,C,2.9,2016-03-23,0.37785430640280476
2016-02-03,10000297,C,2.9,2016-03-23,0.38783368035047816
2016-02-04,10000297,C,2.9,2016-03-23,0.35806685795039245
2016-02-05,10000297,C,2.9,2016-03-23,0.3727197304215594
2016-02-15,10000297,C,2.9,2016-03-23,0.4363211545503258
2016-02-16,10000297,C,2.9,2016-03-23,0.40555457181328053
2016-02-17,10000297,C,2.9,2016-03-23,0.4111015205519408
2016-02-18,10000297,C,2.9,2016-03-23,0.12623641800000002
2016-02-19,10000297,C,2.9,2016-03-23,0.10938785300000001
2016-02-22,10000297,C,2.9,2016-03-23,0.101630212
2016-02-23,10000402,P,1.8,2016-03-23,0.2175835861800186
2016-02-24,10000402,P,1.8,2016-03-23,0.23679390671822464
2016-02-25,10000402,P,1.8,2016-03-23,0.18390289187384518
2016-02-26,10000374,C,2.0,2016-03-23,0.03929931673298025
2016-02-29,10000402,P,1.8,2016-03-23,0.21528321675530268
