date,sigma_ivx,ivx,sigma_gvix,gvix
2015-04-20,0.5052376817257845,44.072628431303364,0.5050628503860403,44.39636497928681
2015-04-21,0.45451314377490476,43.11671272842345,0.5247199236466416,44.18110517897351
2015-04-22,0.4012974641523166,40.12974641523166,0.41351573961764587,41.351573961764586
2015-04-23,0.41059712280786975,41.059712280786975,0.4160606236708549,41.60606236708549
2015-04-24,0.4189299470473405,41.89299470473405,0.42569853529220003,42.569853529220005
2015-04-27,0.40850593395416424,40.61363226541876,0.4193272166114718,41.70714482130195
2015-04-28,0.4349279420699469,42.93965078294713,0.4395176285393694,43.42523778049133
2015-04-29,0.4325406383656102,42.49339499842685,0.43646163734093174,42.9207683882076
2015-04-30,0.4351372704536314,42.74921830458946,0.4384139287238691,43.141436138882575
2015-05-04,0.436739489457284,42.36732543577605,0.4393461756487626,42.767634731604936
2015-05-05,0.43243347554354705,42.134323436113206,0.43318350196774796,42.35399639439766
2015-05-06,0.424607459791508,42.057335541955126,0.42553367364940237,42.34240056538069
2015-05-07,0.44804761863120984,43.285188268244376,0.4545163726843767,43.90040104394451
2015-05-08,0.4283064301873192,42.784206625178165,0.43422541488685673,43.38123137987874
2015-05-11,0.4200233625945378,42.32450902586088,0.4185633686247219,42.51734914278584
2015-05-12,0.4236023911125296,42.51546853096849,0.42481758920848983,42.78497652991009
2015-05-13,0.4081771490077182,42.18215218544814,0.40994838620688107,42.538549461982996
2015-05-14,0.3961013154442723,41.650891451770754,0.40017013188266315,42.132452653580025
2015-05-15,0.36486499485584156,39.05650879212184,0.3638875773734059,39.16001951622294
2015-05-18,0.35449451927559794,37.191710317056184,0.3529041807163387,37.10958169991815
2015-05-19,0.4028808666868066,37.43696659733358,0.41024487503787116,37.778961070492926
2015-05-20,0.3860105890907178,39.388226401068295,0.388553761134283,39.60301777361039
2015-05-21,0.41022030666708387,39.36632514476345,0.4103754375733786,39.41968632885926
2015-05-22,0.4226734747607915,39.74065700326076,0.4231990225465499,40.011293965131124
2015-05-25,0.5043586420545261,40.8838415695653,0.505128554398737,41.36539118013631
2015-05-26,0.5209258365554351,41.97403799199885,0.5376008995268837,42.59349209196423
2015-05-27,0.43504889619796827,42.66054257651073,0.440724923250818,43.24819535510531
2015-05-28,0.444837790953793,44.13110918226715,0.4463323882547324,44.307580342050436
2015-05-29,0.4553146952427397,43.280449009499215,0.4590668538709218,43.47078760855752
2015-06-01,0.45951921649123734,42.96824340733389,0.45971864366028115,43.00663749373456
2015-06-02,0.4661357482189769,43.97438436210943,0.46855634799296614,44.230220353683066
2015-06-03,0.4838586254021264,44.30371004180575,0.4853487592933369,44.41933402604759
2015-06-04,0.4641584418929026,42.9896130687803,0.47189970430156786,43.74491911678615
2015-06-05,0.46969595685674653,43.26983178731253,0.4771304627147582,43.94875195263722
2015-06-08,0.4282673895129757,39.95417379579922,0.43571019761240987,40.99856673111246
2015-06-09,0.4857850156628932,44.979651094956566,0.49169507876020757,45.80396997274838
2015-06-10,0.48326208742436416,46.00205523851348,0.4846649290149771,46.95645504794646
2015-06-11,0.4954674733572299,48.02750781637226,0.4963303055596776,48.701612115361634
2015-06-12,0.4739609755892627,48.50400796741631,0.4747781405729835,49.27767972549456
2015-06-15,0.47049459710513736,46.547585138233366,0.46921040687790533,47.230149673581764
2015-06-16,0.4571593504040568,44.99468397850305,0.4693827475691844,45.06321362404415
2015-06-17,0.4837392816960095,44.95963696369974,0.48690444958185375,44.83134297970221
2015-06-18,0.34403770686796514,47.493938007280065,0.36942291150797313,47.48554903081653
2015-06-19,0.35898298333424755,52.1013154981562,0.35866696248770463,51.490004120447516
2015-06-23,0.600100458491341,51.52135290898815,0.6168650194380363,50.924537988224195
2015-06-24,0.5069522475885986,49.866098330541256,0.5045026489918497,49.71825971717433
2015-06-25,0.4814031442114321,47.70462207286806,0.476143137860589,47.279921990063876
2015-06-26,0.5678883164928133,54.75772009103815,0.5543596937406655,53.59677636161063
2015-06-29,0.7618988738930175,66.94372556605968,0.7585024011717079,66.16209938138503
2015-06-30,0.664217942740571,61.64517132416969,0.6588435389561075,61.453752987602805
2015-07-01,0.6273526826717253,59.77018394684196,0.6188587455603294,59.328328107179786
2015-07-02,0.668110173794235,62.38537093039406,0.6561685745337857,61.59808485274585
2015-07-03,0.6823666526586077,62.67061026298186,0.6700602223995166,61.62838030214258
2015-07-06,0.6941031790989817,64.18346800018261,0.6880203040062985,63.57589981397164
2015-07-07,0.6134128980217295,58.020960262510016,0.6130704873542191,57.92917011514038
2015-07-08,0.7487137534081284,62.52458177184212,0.7408849956308632,62.06102586936317
2015-07-09,0.7047856584225827,58.59500010525694,0.7028141067870057,58.80190698867642
2015-07-10,0.6797115911040238,56.64232722495287,0.6838632763411934,57.146908006579764
2015-07-13,0.6551919542804013,56.21532187991498,0.6573837573783123,56.37689750338365
2015-07-14,0.5446030137856666,52.089024853552125,0.5425887403958142,51.983400805811065
2015-07-15,0.4909234541548293,48.58494050094355,0.4875726337929436,48.537458866790764
2015-07-16,0.4321665151035109,43.890202473851836,0.4327380801175277,43.95580349657683
2015-07-17,0.41810438095526814,41.88828160261481,0.41782471392237,42.059412001157995
2015-07-20,0.5140566457313541,42.79763707116687,0.5128021933916955,43.42983847179852
2015-07-21,0.4989404378919899,41.940877472794085,0.5287906462994899,42.28728499989944
2015-07-22,0.3274575740128731,32.745757401287314,0.32508998121670063,32.50899812167006
2015-07-23,0.28746933536600666,28.746933536600665,0.29224279153427957,29.224279153427958
